name;age;flightNumber;seat;ticketclass;luggageWeight
Liam;23;MBI23;F24;Economy;19.2
Julia;70;MBI23;C13;Economy;9.7
Joshua;1;MBI23;F7;Economy;14.7
Sarah;4;MBI23;A32;Economy;17.6
David;4;MBI23;F7;Economy;14.0
Anna;73;MBI23;B4;Economy;5.3
Alexander;69;MBI23;D24;Economy;10.8
Sarah;71;MBI23;D6;Economy;14.7
Andrew;33;MBI23;B9;Economy;27.6
Mia;27;MBI23;B30;Economy;10.3
Aurora;70;MBI23;E11;Economy;22.9
David;8;MBI23;C16;Economy;28.9
Sophia;28;MBI23;C1;Economy;8.7
Lucas;77;MBI23;D11;Economy;5.8
Oliver;29;MBI23;B3;Economy;13.7
Alexander;71;MBI23;A15;Economy;23.2
Benjamin;48;MBI23;F1;Economy;17.5
Lucas;85;MBI23;E25;Economy;16.9
Oliver;58;MBI23;C26;Economy;23.9
Joshua;52;MBI23;A25;Economy;26.6
Andrew;43;MBI23;F29;Economy;31.6
Aurora;6;MBI23;D14;Economy;27.1
Andrew;2;MBI23;A12;Economy;15.9
Sebastian;75;MBI23;E14;Economy;25.5
Andrew;74;MBI23;F29;Economy;26.2
Sarah;26;MBI23;B32;Economy;11.8
Benjamin;47;MBI23;B5;Economy;17.3
Oliver;5;MBI23;D11;Economy;29.8
Julia;24;MBI23;F17;Economy;24.1
Oliver;4;MBI23;F25;Economy;8.4
Sebastian;83;MBI23;A15;Economy;1.8
Aurora;37;MBI23;C28;Economy;22.5
Mateo;33;MBI23;E2;Economy;18.2
Anna;34;MBI23;D18;Economy;27.5
Anna;37;MBI23;D6;Economy;9.0
Oliver;45;MBI23;D6;Economy;27.5
Sophia;28;MBI23;D21;Economy;6.6
Thomas;61;MBI23;D5;Economy;25.1
Sebastian;85;MBI23;B19;Economy;10.3
Daniel;75;MBI23;F13;Economy;19.1
Julia;12;MBI23;E27;Economy;23.6
Liam;17;MBI23;E10;Economy;4.4
Oliver;48;MBI23;C6;Economy;14.2
Liam;25;MBI23;C6;Economy;32.1
Anna;13;MBI23;D3;Economy;29.4
David;23;MBI23;A31;Economy;15.4
Joshua;35;MBI23;A31;Economy;20.6
William;5;MBI23;F11;Economy;20.7
David;23;MBI23;E3;Economy;10.5
Julia;56;MBI23;C2;Economy;32.0
Sophia;34;MBI23;B4;Economy;21.1
Lucas;50;MBI23;A17;Economy;27.1
David;53;MBI23;E23;Economy;16.8
Micheal;32;MBI23;D26;Economy;10.5
Joshua;62;MBI23;F26;Economy;3.8
Aurora;20;MBI23;A27;Economy;17.0
Daniel;80;MBI23;C6;Economy;24.3
Micheal;67;MBI23;F3;Economy;3.8
Julia;9;MBI23;B16;Economy;28.6
Lucas;33;MBI23;C18;Economy;10.1
Joshua;10;MBI23;D26;Economy;28.4
Sarah;42;MBI23;C30;Economy;29.3
Anna;38;MBI23;F9;Economy;2.3
Benjamin;26;MBI23;C2;Economy;16.3
Mia;44;MBI23;E32;Economy;12.0
Micheal;82;MBI23;A26;Economy;30.1
Sarah;19;MBI23;D27;Economy;24.6
Mia;20;MBI23;C8;Economy;23.8
Sophia;37;MBI23;C22;Economy;25.8
Anna;27;MBI23;E23;Economy;2.9
Sarah;76;MBI23;F9;Economy;18.4
Micheal;24;MBI23;A22;Economy;20.4
Liam;48;MBI23;F11;Economy;22.9
Lucas;44;MBI23;C14;Economy;4.9
Daniel;19;MBI23;D6;Economy;7.9
Sarah;8;MBI23;B1;Economy;22.9
Andrew;49;MBI23;B4;Economy;3.5
Mia;61;MBI23;C29;Economy;31.0
Anna;7;MBI23;C5;Economy;20.4
Daniel;1;MBI23;E13;Economy;2.3
Lucas;54;MBI23;A2;Economy;15.8
Joshua;25;MBI23;B29;Economy;3.2
Joshua;51;MBI23;F6;Economy;20.0
Mia;52;MBI23;B30;Economy;25.6
Mateo;23;MBI23;F6;Economy;10.9
Liam;74;MBI23;E29;Economy;5.4
Andrew;21;MBI23;F6;Economy;28.6
Alexander;72;MBI23;C4;Economy;26.9
Andrew;6;MBI23;D5;Economy;26.0
Sophia;51;MBI23;A30;Economy;11.4
Liam;68;MBI23;B23;Economy;22.4
Oliver;63;MBI23;A30;Economy;20.4
Julia;18;MBI23;C8;Economy;25.9
Thomas;46;MBI23;A9;Economy;6.0
Thomas;31;MBI23;D26;Economy;11.0
Benjamin;59;MBI23;F29;Economy;23.5
Sarah;64;MBI23;B3;Economy;8.3
Andrew;58;II23;C14;Economy;19.1
Sarah;11;II23;F16;Economy;15.5
Aurora;38;II23;A22;Economy;25.6
Julia;4;II23;C27;Economy;20.0
Andrew;66;II23;C28;Economy;24.7
Benjamin;73;II23;D2;Economy;19.8
Liam;76;II23;B30;Economy;8.8
Daniel;11;II23;F22;Economy;1.8
Thomas;82;II23;B26;Economy;16.0
Micheal;17;II23;B26;Economy;23.0
Sophia;26;II23;C15;Economy;28.9
Mia;9;II23;B27;Economy;23.7
Liam;9;II23;B3;Economy;6.3
Micheal;36;II23;A19;Economy;19.6
Liam;82;II23;A16;Economy;9.8
William;86;II23;E12;Economy;22.0
Mateo;19;II23;E4;Economy;32.3
Micheal;77;II23;F31;Economy;2.4
David;13;II23;D24;Economy;4.4
Mia;21;II23;F30;Economy;13.4
Sarah;11;II23;A12;Economy;8.6
Daniel;9;II23;B25;Economy;4.0
Thomas;87;II23;A30;Economy;25.0
Micheal;7;II23;F1;Economy;26.1
Sebastian;5;II23;E15;Economy;11.7
Daniel;22;II23;F32;Economy;15.5
Daniel;65;II23;D26;Economy;5.8
Oliver;17;II23;F18;Economy;31.3
Thomas;70;II23;D8;Economy;20.2
William;8;II23;B17;Economy;3.8
Sarah;31;II23;E12;Economy;7.5
William;48;II23;B25;Economy;15.6
Andrew;34;II23;A10;Economy;24.9
Mia;87;II23;D5;Economy;13.2
Thomas;54;II23;C10;Economy;30.0
Alexander;83;II23;D30;Economy;23.2
Sarah;18;II23;F25;Economy;8.1
David;38;II23;A12;Economy;11.8
Benjamin;25;II23;F28;Economy;30.6
Micheal;88;II23;A5;Economy;11.0
Micheal;13;II23;E12;Economy;26.5
Sophia;34;II23;A15;Economy;3.2
Oliver;89;II23;D13;Economy;14.8
Aurora;91;II23;D2;Economy;8.1
Sebastian;27;II23;B1;Economy;25.4
Sarah;79;II23;D30;Economy;9.7
Daniel;2;II23;B6;Economy;14.3
Liam;14;II23;B21;Economy;9.0
Sarah;46;II23;A26;Economy;11.7
Mateo;10;II23;D24;Economy;5.8
Benjamin;68;II23;A30;Economy;11.2
Mateo;2;II23;D15;Economy;10.6
David;14;II23;A24;Economy;16.4
Benjamin;42;II23;C22;Economy;4.1
Micheal;63;II23;B5;Economy;29.7
Benjamin;49;II23;D17;Economy;24.6
Joshua;68;II23;C23;Economy;4.7
Daniel;40;II23;E3;Economy;3.3
Thomas;44;II23;F5;Economy;9.6
David;36;II23;B26;Economy;18.0
Daniel;56;II23;D15;Economy;16.1
Anna;29;II23;C5;Economy;26.9
Thomas;41;II23;B3;Economy;23.9
Benjamin;16;II23;F18;Economy;3.8
Oliver;69;II23;A27;Economy;21.4
Andrew;59;II23;E30;Economy;23.2
Micheal;33;II23;F31;Economy;17.0
Thomas;83;II23;A9;Economy;18.4
Sarah;61;II23;B24;Economy;18.0
Sophia;69;II23;D15;Economy;11.9
David;56;II23;C19;Economy;9.9
Sarah;41;II23;C20;Economy;28.8
Anna;9;II23;E26;Economy;26.3
Oliver;71;II23;B25;Economy;17.7
David;16;II23;E8;Economy;5.6
Julia;19;II23;D28;Economy;13.4
Julia;73;II23;B11;Economy;5.9
Benjamin;55;II23;D32;Economy;1.9
Benjamin;10;II23;A2;Economy;32.3
Micheal;59;II23;A4;Economy;30.9
Aurora;23;II23;C19;Economy;2.9
Anna;21;II23;B2;Economy;6.0
Joshua;7;II23;A2;Economy;11.7
Sophia;41;II23;A15;Economy;24.6
Anna;4;II23;B9;Economy;21.2
Lucas;5;II23;F27;Economy;2.8
Andrew;89;II23;A19;Economy;20.4
Anna;44;II23;B28;Economy;13.8
Oliver;7;II23;D9;Economy;25.6
Mia;38;II23;B25;Economy;6.2
Micheal;35;II23;E22;Economy;16.9
Mateo;2;II23;B17;Economy;25.3
Daniel;70;II23;D6;Economy;6.3
Micheal;56;II23;A18;Economy;20.7
Mia;7;II23;D1;Economy;25.6
Joshua;36;II23;F9;Economy;23.1
Benjamin;55;II23;C30;Economy;24.3
Julia;84;II23;A25;Economy;19.7
Aurora;76;II23;B22;Economy;2.5
Sarah;12;II23;E7;Economy;15.7
Aurora;47;II23;A9;Economy;27.9
Mateo;28;II23;E3;Economy;22.3
Liam;87;II23;A4;Economy;19.3
Alexander;20;II23;F22;Economy;12.8
Micheal;24;II23;D29;Economy;26.4
Joshua;32;II23;B9;Economy;29.6
Liam;83;II23;C30;Economy;3.2
Oliver;32;II23;D12;Economy;19.6
Daniel;11;II23;E25;Economy;20.0
Sarah;23;II23;D15;Economy;22.0
Andrew;30;II23;F17;Economy;7.5
Alexander;33;II23;D3;Economy;4.5
David;28;II23;B26;Economy;13.6
Alexander;66;II23;F23;Economy;13.6
Oliver;59;II23;A12;Economy;29.6
Lucas;33;II23;C17;Economy;10.4
Aurora;47;II23;B29;Economy;10.7
David;66;II23;E15;Economy;18.3
Joshua;13;II23;E16;Economy;9.4
Oliver;52;II23;A14;Economy;19.6
Andrew;72;II23;D17;Economy;12.7
Liam;16;II23;E16;Economy;24.9
Lucas;11;II23;E17;Economy;9.1
Oliver;10;II23;D27;Economy;12.7
Oliver;4;II23;E14;Economy;20.7
Oliver;45;II23;B1;Economy;28.6
Liam;59;II23;C24;Economy;3.1
Lucas;63;II23;D22;Economy;18.1
David;12;II23;F4;Economy;7.2
Sebastian;50;II23;E7;Economy;30.6
Sebastian;36;II23;A23;Economy;27.4
David;82;II23;F1;Economy;8.7
Sarah;32;II23;F6;Economy;2.1
Alexander;89;II23;E12;Economy;10.0
Sarah;35;II23;A27;Economy;5.1
Joshua;4;II23;E20;Economy;19.7
Anna;22;II23;D10;Economy;32.4
Liam;52;II23;D10;Economy;7.4
Aurora;64;II23;C16;Economy;7.9
Daniel;76;II23;E32;Economy;22.5
Liam;19;II23;C28;Economy;7.9
Julia;90;II23;E31;Economy;30.7
Anna;8;II23;B11;Economy;29.5
Benjamin;15;II23;F9;Economy;31.4
Sebastian;58;II23;C12;Economy;18.1
Andrew;45;II23;B24;Economy;10.1
Anna;79;II23;D19;Economy;7.6
Aurora;11;II23;C20;Economy;10.2
Sebastian;39;II23;C14;Economy;8.6
Anna;15;II23;B28;Economy;23.8
Micheal;25;II23;A29;Economy;22.7
Lucas;28;II23;E27;Economy;3.5
Sebastian;68;II23;E10;Economy;22.0
William;31;II23;D26;Economy;6.7
Alexander;13;II23;B31;Economy;26.7
Anna;47;II23;F30;Economy;20.1
Mia;79;II23;A24;Economy;15.9
Sebastian;63;II23;C10;Economy;20.6
Sophia;5;II23;F13;Economy;7.0
Oliver;62;II23;E19;Economy;11.2
David;75;II23;E10;Economy;24.0
Aurora;35;II23;C23;Economy;2.2
Benjamin;77;II23;E13;Economy;26.6
Liam;80;II23;F4;Economy;21.0
Mateo;91;II23;B31;Economy;9.3
Anna;22;II23;A29;Economy;5.1
Liam;20;II23;F21;Economy;20.1
Sebastian;50;II23;F21;Economy;2.8
Micheal;68;II23;F26;Economy;25.2
Benjamin;8;II23;D22;Economy;14.1
Benjamin;37;II23;E13;Economy;29.6
Daniel;14;II23;F11;Economy;30.0
Mia;26;II23;A29;Economy;15.0
William;17;II23;E10;Economy;24.2
Joshua;91;II23;A5;Economy;15.0
Mia;5;II23;A28;Economy;4.6
Sebastian;24;II23;E16;Economy;11.6
Lucas;56;II23;C25;Economy;16.5
Sebastian;24;II23;D4;Economy;7.7
Aurora;84;II23;E4;Economy;6.3
Aurora;40;II23;E1;Economy;19.5
Anna;67;II23;B26;Economy;29.1
Anna;83;II23;A24;Economy;5.1
William;59;II23;D29;Economy;27.9
Anna;46;II23;E7;Economy;18.0
Aurora;16;II23;E11;Economy;24.7
Mia;64;II23;B4;Economy;2.4
Julia;36;II23;B2;Economy;9.9
Lucas;80;II23;F27;Economy;30.6
Micheal;51;II23;F17;Economy;16.5
Alexander;39;II23;B8;Economy;12.7
Alexander;13;II23;A9;Economy;26.0
Lucas;44;II23;F6;Economy;32.3
Aurora;7;II23;D3;Economy;15.3
Julia;11;II23;E30;Economy;12.2
Liam;16;II23;F9;Economy;15.5
Micheal;20;II23;C19;Economy;23.9
Andrew;72;II23;A12;Economy;24.3
Daniel;4;II23;D12;Economy;18.2
Mia;58;II23;F19;Economy;16.2
Sophia;14;II23;D2;Economy;22.3
Oliver;49;II23;F2;Economy;30.0
Alexander;43;II23;F16;Economy;26.9
Daniel;65;II23;A17;Economy;32.7
Thomas;2;II23;F5;Economy;7.8
Alexander;66;II23;B16;Economy;2.5
Aurora;44;II23;E7;Economy;27.2
Oliver;33;II23;D30;Economy;2.4
William;15;II23;D32;Economy;23.5
William;50;II23;B25;Economy;20.4
Sophia;90;II23;B20;Economy;7.6
Mateo;46;II23;E8;Economy;2.1
Benjamin;91;II23;B12;Economy;14.5
Andrew;18;II23;E30;Economy;11.2
William;32;II23;F8;Economy;29.9
David;20;II23;A24;Economy;21.0
Sebastian;28;II23;E7;Economy;21.6
Benjamin;53;II23;C4;Economy;25.2
Anna;20;II23;D27;Economy;8.1
William;23;II23;F28;Economy;17.1
William;44;II23;F7;Economy;7.8
Micheal;45;II23;F25;Economy;19.2
Mia;54;II23;A32;Economy;27.7
Daniel;22;II23;B31;Economy;22.7
Micheal;77;II23;F8;Economy;20.8
Mateo;29;II23;E8;Economy;17.0
Liam;26;II23;D20;Economy;28.2
Mateo;90;II23;E19;Economy;26.8
Aurora;80;II23;C10;Economy;12.2
William;68;II23;E16;Economy;25.8
Sophia;56;II23;B31;Economy;12.3
Julia;50;II23;F10;Economy;26.9
Andrew;83;II23;D26;Economy;9.2
William;91;II23;A28;Economy;25.9
Sarah;3;II23;D16;Economy;21.5
Sophia;41;II23;C23;Economy;6.6
Oliver;84;II23;D2;Economy;9.1
Sophia;3;II23;C27;Economy;16.8
Joshua;77;II23;B1;Economy;5.3
Julia;83;II23;D17;Economy;4.7
Anna;69;II23;D7;Economy;18.6
Alexander;25;II23;E16;Economy;30.9
David;72;II23;D22;Economy;16.9
Sophia;33;II23;A28;Economy;3.0
Mateo;41;II23;E19;Economy;12.6
Alexander;62;II23;F22;Economy;16.4
Mateo;16;II23;F26;Economy;6.4
Sarah;74;II23;E17;Economy;9.9
Daniel;87;II23;B9;Economy;28.5
Sophia;14;II23;E14;Economy;13.0
Julia;14;II23;A5;Economy;17.6
Micheal;18;II23;E22;Economy;26.7
Joshua;34;II23;A20;Economy;19.8
Liam;51;II23;B7;Economy;11.3
Sarah;24;II23;D6;Economy;23.1
Anna;49;II23;C26;Economy;16.2
Lucas;71;II23;A1;Economy;26.1
Daniel;27;II23;B11;Economy;5.4
Oliver;55;II23;E30;Economy;23.3
Joshua;56;II23;E12;Economy;11.8
David;44;II23;C29;Economy;2.2
Lucas;13;II23;A3;Economy;7.1
William;42;II23;C28;Economy;5.5
Anna;35;II23;A12;Economy;2.7
Sarah;38;II23;F32;Economy;5.2
Julia;9;II23;B13;Economy;10.2
Mia;40;II23;A21;Economy;7.2
Thomas;20;II23;D18;Economy;15.7
Julia;18;II23;B8;Economy;32.4
Joshua;20;II23;F5;Economy;32.7
Aurora;89;II23;E12;Economy;22.8
Micheal;6;II23;B29;Economy;4.5
Thomas;6;II23;C7;Economy;28.4
Alexander;76;II23;E30;Economy;7.8
Sarah;56;II23;C23;Economy;31.3
Oliver;87;II23;D12;Economy;32.0
Anna;17;II23;B11;Economy;5.8
William;12;II23;D14;Economy;22.5
Thomas;72;II23;D31;Economy;9.7
Micheal;68;II23;F4;Economy;29.6
Sophia;55;II23;C21;Economy;32.7
Mateo;42;II23;A25;Economy;27.0
Benjamin;51;II23;D30;Economy;8.4
Andrew;31;II23;D8;Economy;22.0
Julia;17;II23;C3;Economy;31.2
Alexander;81;II23;F24;Economy;26.0
Mateo;4;II23;E32;Economy;14.5
Sebastian;12;II23;D23;Economy;25.8
Aurora;2;II23;B21;Economy;26.0
Mia;87;II23;D7;Economy;23.7
Mia;70;II23;A32;Economy;25.8
Anna;12;II23;E31;Economy;17.3
Mateo;55;II23;A31;Economy;21.1
Benjamin;27;II23;B7;Economy;22.5
Liam;62;II23;C20;Economy;16.4
Julia;11;II23;F12;Economy;23.5
Julia;7;II23;E19;Economy;4.8
Alexander;7;II23;C19;Economy;25.6
Alexander;79;II23;B24;Economy;26.6
Micheal;66;II23;E25;Economy;26.4
Alexander;78;II23;A9;Economy;17.1
Sebastian;85;II23;F17;Economy;15.9
Micheal;34;II23;F2;Economy;9.9
Thomas;88;II23;D12;Economy;23.3
Oliver;45;II23;F1;Economy;8.3
David;72;II23;C3;Economy;7.7
William;78;II23;F26;Economy;14.9
Lucas;83;II23;B10;Economy;26.7
Lucas;28;II23;B1;Economy;2.9
Oliver;81;II23;C12;Economy;11.0
Liam;42;II23;F30;Economy;24.0
Mateo;4;II23;B30;Economy;32.6
Alexander;67;II23;E5;Economy;10.0
Sarah;16;II23;F26;Economy;1.9
Thomas;43;II23;B31;Economy;13.0
Andrew;71;II23;D32;Economy;5.6
Andrew;40;II23;C32;Economy;29.7
Lucas;80;II23;C18;Economy;2.4
Anna;14;II23;B13;Economy;25.8
Aurora;32;II23;D4;Economy;10.2
Joshua;5;II23;D14;Economy;8.1
Oliver;23;II23;E3;Economy;28.2
Julia;15;II23;B32;Economy;15.3
Micheal;12;II23;C3;Economy;31.9
Mia;84;II23;E16;Economy;16.5
Daniel;43;II23;E2;Economy;12.6
Joshua;82;II23;E30;Economy;9.6
Julia;54;II23;C11;Economy;7.5
Benjamin;47;II23;E27;Economy;3.8
Sebastian;85;II23;C7;Economy;11.2
Benjamin;50;II23;D21;Economy;8.5
Lucas;89;II23;D5;Economy;9.2
Sebastian;86;II23;F13;Economy;27.9
Julia;29;II23;D6;Economy;11.8
Sarah;14;II23;B2;Economy;2.1
Andrew;38;II23;B32;Economy;15.5
Joshua;19;II23;A9;Economy;16.9
Sebastian;74;II23;E8;Economy;27.3
Alexander;84;II23;E3;Economy;29.3
Sebastian;44;II23;A27;Economy;17.3
Sophia;17;II23;C23;Economy;7.9
Sarah;89;II23;F26;Economy;16.0
Micheal;43;II23;F14;Economy;18.1
Sebastian;91;II23;D15;Economy;31.1
David;91;II23;E26;Economy;32.5
Sophia;81;II23;C14;Economy;30.1
Benjamin;19;II23;F11;Economy;32.2
Daniel;72;II23;B20;Economy;3.2
Thomas;68;II23;E2;Economy;32.2
Oliver;39;II23;A14;Economy;32.6
Aurora;45;II23;F29;Economy;22.1
Lucas;65;II23;E14;Economy;22.5
Joshua;82;II23;E24;Economy;31.8
David;27;II23;C27;Economy;25.0
Sophia;16;II23;F3;Economy;22.9
Thomas;79;II23;C20;Economy;9.1
Sebastian;43;II23;A29;Economy;25.0
Mateo;20;II23;D11;Economy;30.8
Micheal;24;II23;B8;Economy;14.5
Mateo;72;II23;B18;Economy;6.1
Alexander;52;II23;E26;Economy;14.4
William;19;II23;F10;Economy;27.9
David;76;II23;F6;Economy;19.8
Sarah;53;II23;B9;Economy;11.8
Sarah;12;II23;F12;Economy;11.9
Sophia;41;II23;F9;Economy;27.1
Aurora;19;II23;F25;Economy;21.2
Julia;2;II23;D14;Economy;28.3
Daniel;40;II23;B13;Economy;12.4
Alexander;86;II23;E19;Economy;28.9
Oliver;73;II23;D13;Economy;10.1
Liam;52;II23;E7;Economy;28.0
Alexander;70;II23;E22;Economy;24.8
Anna;25;II23;A14;Economy;15.6
Andrew;84;II23;F32;Economy;17.2
Aurora;75;II23;B11;Economy;6.7
William;71;II23;A13;Economy;3.2
Sarah;80;II23;F21;Economy;28.8
Daniel;53;II23;C24;Economy;31.8
David;11;II23;E27;Economy;28.9
Mateo;36;II23;D6;Economy;18.0
Mateo;3;II23;D18;Economy;9.0
Julia;77;II23;C27;Economy;4.6
Sophia;19;II23;D22;Economy;6.6
Lucas;62;II23;B28;Economy;14.4
Daniel;67;II23;C22;Economy;11.5
Julia;7;II23;D17;Economy;4.5
Joshua;6;II23;A4;Economy;9.4
Sebastian;25;II23;B6;Economy;15.8
Anna;24;II23;B5;Economy;16.6
Alexander;31;II23;F20;Economy;28.5
Alexander;19;II23;A21;Economy;30.7
Daniel;25;II23;A17;Economy;19.3
Daniel;29;II23;D11;Economy;8.8
Micheal;65;II23;A17;Economy;30.0
Mateo;13;II23;E18;Economy;27.4
Anna;75;II23;F9;Economy;18.1
Alexander;36;II23;D29;Economy;19.0
Liam;75;II23;D30;Economy;29.3
Micheal;89;II23;F30;Economy;3.6
Anna;69;II23;E22;Economy;26.2
Benjamin;61;II23;E16;Economy;15.1
Micheal;35;II23;C23;Economy;30.1
Anna;74;II23;D28;Economy;3.1
Micheal;8;II23;F21;Economy;12.1
Micheal;4;II23;B20;Economy;17.2
Julia;63;II23;E12;Economy;15.9
Sophia;81;II23;A16;Economy;21.8
David;77;II23;C23;Economy;15.9
Sophia;29;II23;E12;Economy;9.2
Joshua;50;II23;C23;Economy;15.9
Thomas;5;II23;F17;Economy;17.0
Sophia;75;II23;C23;Economy;10.6
William;56;II23;C3;Economy;23.5
Micheal;61;II23;E6;Economy;30.3
Benjamin;27;II23;E25;Economy;14.0
Sophia;2;II23;F26;Economy;24.1
Andrew;80;II23;E12;Economy;30.3
Anna;5;II23;E13;Economy;30.3
Sophia;86;II23;B5;Economy;3.5
Daniel;44;II23;E2;Economy;21.5
Anna;38;II23;D2;Economy;25.8
David;10;II23;C21;Economy;19.0
Alexander;35;II23;D30;Economy;4.7
Mateo;62;II23;B6;Economy;11.7
Thomas;29;II23;A27;Economy;28.3
Sophia;27;II23;F31;Economy;15.2
William;89;II23;C21;Economy;28.2
Micheal;4;II23;A16;Economy;22.1
Alexander;41;II23;E10;Economy;12.1
Sarah;23;II23;E8;Economy;20.6
Sebastian;53;II23;B19;Economy;12.6
Oliver;82;II23;C8;Economy;31.9
Benjamin;65;II23;D24;Economy;30.3
Andrew;12;II23;B21;Economy;29.3
William;81;II234;B21;Economy;30.1
Sarah;59;II234;A29;Economy;24.6
Alexander;72;II234;A12;Economy;8.1
Joshua;6;II234;F29;Economy;30.4
Sebastian;30;II234;C13;Economy;9.8
Joshua;5;II234;D27;Economy;3.9
William;33;II234;D28;Economy;1.8
Benjamin;19;II234;D31;Economy;17.1
Sarah;39;II234;A18;Economy;22.4
Mateo;40;II234;C14;Economy;10.2
Mateo;32;II234;B18;Economy;1.9
Joshua;52;II234;B17;Economy;24.4
Sarah;47;II234;C32;Economy;21.4
Micheal;77;II234;D10;Economy;23.6
Daniel;18;II234;E15;Economy;17.0
Thomas;5;II234;D30;Economy;17.6
Thomas;73;II234;C14;Economy;29.9
David;41;II234;F2;Economy;20.6
Sebastian;57;II234;B23;Economy;27.6
Joshua;31;II234;B2;Economy;6.9
Micheal;19;II234;D28;Economy;30.4
Alexander;39;II234;F26;Economy;12.0
Mia;61;II234;D2;Economy;7.6
Micheal;90;II234;E31;Economy;15.1
Daniel;87;II234;C6;Economy;14.7
Daniel;43;II234;A7;Economy;11.5
Lucas;19;II234;B16;Economy;28.1
Anna;5;II234;A6;Economy;27.4
Micheal;16;II234;B7;Economy;10.3
Sophia;15;II234;F13;Economy;23.2
Lucas;20;II234;A29;Economy;8.6
Daniel;80;II234;D27;Economy;15.7
Lucas;19;II234;E22;Economy;13.3
William;29;II234;D29;Economy;22.5
Sarah;14;II234;C18;Economy;16.6
Daniel;27;MBI24;E26;Economy;17.8
Julia;29;MBI24;D15;Economy;10.1
